sep=,
="DATE",="START_TIME",="END_TIME",="USER_NAME",="DEVICE_MODEL",="ALL_ENABLED_TESTS_STATUS",="SERIAL_NUMBER_STATUS",="SERIAL_NUMBER_VALUE",="LoRa_ID_STATUS",="LoRa_ID_VALUE",="POWER_TEST",="POWER_VALUE (mW)",="V1_TEST",="V1_VALUE (mV)",="V2_TEST",="V2_VALUE (mV)",="V3_TEST",="V3_VALUE (mV)",="V4_TEST",="V4_VALUE (mV)",="V5_TEST",="V5_VALUE (mV)",="UART_TEST",="FIRMWARE_VERSION_TEST",="FIRMWARE_VERSION_VALUE",="GPIO_TEST",="GPIO_JIGA_STATE_1",="GPIO_DUT_STATE_1",="GPIO_JIGA_STATE_2",="GPIO_DUT_STATE_2",="ADC_TEST",="ADC_VALUE (mV)",="G-SENSOR_TEST",="G-SENSOR_X_AXIS",="G-SENSOR_Y_AXIS",="G-SENSOR_Z_AXIS",="LoRa_TEST",="LoRa_channel",="LoRa_DUT_RX_DATA",="LoRa_DUT_TX_DATA",="LoRa_DUT_RSSI",="LoRa_DUT_SNR",="LoRa_JIGA_RX_DATA",="LoRa_JIGA_TX_DATA",="LoRa_JIGA_RSSI",="LoRa_JIGA_SNR",="CAN_TEST",="CAN_BIT_RATE",="CAN_DUT_RX_DATA",="CAN_DUT_TX_DATA",="CAN_JIGA_RX_DATA",="CAN_JIGA_TX_DATA",="1-WIRE_TEST",="1-WIRE_VALUE",="GSM_TEST",="GSM_CSQ_RSSI",="GSM_CSQ_BER",="GSM_IMEI",="GSM_ICCID",="GSM_NETWORK_PROVIDER",="GPS_TEST",="GPS_QUALITY_INDICATOR",="GPS_SATELLITES_USED",="GPS_HDOP",="SIM_CARD_TEST",="SIM_CARD_ICCID",="SIM_CARD_NETWORK_PROVIDER",="SETUP_DOWNLOAD",="SETUP_HASH",="LoRa_APP_EUI_STATUS",="LoRa_APP_EUI_VALUE",="LoRa_APP_SESSION_KEY_STATUS",="LORA_APP_SESSION_KEY_VALUE",="LoRa_DEV_ADDRESS_STATUS",="LoRa_DEV_ADDRESS_VALUE",="LoRa_DEV_EUI_STATUS",="LoRa_DEV_EUI_VALUE",="LoRa_NTWK_SESSION_KEY_STATUS",="LoRa_NTWK_SESSION_KEY_VALUE",
="2024-06-27",="00:04:12",="00:15:19",="hi-mix",="RI-0352",="PASS",="PASS",="25102661",="PASS",="5102661",="PASS",="446",="PASS",="10244",="PASS",="5353",="PASS",="4340",="PASS",="3266",="PASS",="1772",="PASS",="PASS",="v0.5.23",="PASS",="1100",="01000",="0011",="10111",="PASS",="11543",="-",="0",="0",="0",="PASS",="906000",="1826648853",="219046541",="-42",="11",="219046541",="1826648853",="-49",="10",="-",="1000",="",="",="",="",="PASS",="6200000F26D67028",="PASS",="12",="99",="865413056333320",="89551080157072791251",="Vivo",="PASS",="2",="14",="0.67",="PASS",="89550534400026561378",="Claro",="PASS",="-",="PASS",="2870D57A8B42CF8E",="PASS",="3BAED4BA68D8218389D54B9BF3CCA5B1",="PASS",="FFB82AF9",="PASS",="0005168000148DE8",="PASS",="66361DF0C2AE550A5D3B5A28458C515F",
="2024-06-27",="00:15:39",="00:25:11",="hi-mix",="RI-0352",="PASS",="PASS",="25102415",="PASS",="5102415",="PASS",="456",="PASS",="10276",="PASS",="5373",="PASS",="4340",="PASS",="3251",="PASS",="1767",="PASS",="PASS",="v0.5.23",="PASS",="1100",="01000",="0011",="10111",="PASS",="11751",="-",="0",="0",="0",="PASS",="906000",="228913507",="1838866783",="-42",="11",="1838866783",="228913507",="-44",="10",="-",="1000",="",="",="",="",="PASS",="6200000F26D67028",="PASS",="11",="99",="865413056320954",="89551080157072791251",="Vivo",="PASS",="2",="14",="0.70",="PASS",="89550534400026561360",="Claro",="PASS",="-",="PASS",="125A3531E4552D78",="PASS",="4F7ECAB48B7AEDA6A31DAE4BEDA7AF20",="PASS",="33DAC191",="PASS",="0005168000149964",="PASS",="8BCABE4B8A640E792690B0D50E8D58FD",
="2024-06-27",="00:26:10",="00:36:03",="hi-mix",="RI-0352",="PASS",="PASS",="25102418",="PASS",="5102418",="PASS",="642",="PASS",="10244",="PASS",="5343",="PASS",="4350",="PASS",="3300",="PASS",="1787",="PASS",="PASS",="v0.5.23",="PASS",="1100",="01000",="0011",="10111",="PASS",="11515",="-",="0",="0",="0",="PASS",="906000",="16909286",="1782200985",="-44",="11",="1782200985",="16909286",="-50",="9",="-",="1000",="",="",="",="",="PASS",="6200000F26D67028",="PASS",="11",="99",="865413056320806",="89551080157072791251",="Vivo",="PASS",="2",="12",="0.78",="PASS",="89550534400026561675",="Claro",="PASS",="-",="PASS",="FE283B0EFB5922E2",="PASS",="087B107F4B2C29867CCD9CEDE07BE30D",="PASS",="3D90B351",="PASS",="0005168000148CE6",="PASS",="55D270F6C64870ACAF4C25D99F4D8859",
="2024-06-27",="00:36:26",="00:38:28",="hi-mix",="RI-0352",="FAIL",="PASS",="25102485",="PASS",="5102485",="PASS",="646",="PASS",="10308",="PASS",="5333",="PASS",="4335",="PASS",="3271",="PASS",="1787",="PASS",="PASS",="v0.5.23",="FAIL",="1100",="01000",="0111",="",="-",="0",="-",="0",="0",="0",="-",="906000",="",="",="0",="0",="",="",="0",="0",="-",="1000",="",="",="",="",="-",="",="-",="0",="0",="",="",="",="-",="",="",="",="-",="",="",="-",="-",="-",="",="-",="",="-",="",="PASS",="0005168000149946",="-",="",
="2024-06-27",="00:39:15",="00:40:57",="hi-mix",="RI-0352",="FAIL",="-",="0",="-",="0",="-",="0",="-",="0",="-",="0",="-",="0",="-",="0",="-",="0",="-",="-",="",="-",="",="",="",="",="-",="0",="-",="0",="0",="0",="-",="906000",="",="",="0",="0",="",="",="0",="0",="-",="1000",="",="",="",="",="-",="",="-",="0",="0",="",="",="",="-",="",="",="",="-",="",="",="-",="-",="-",="",="-",="",="-",="",="-",="",="-",="",
="2024-06-27",="00:42:13",="00:56:08",="hi-mix",="RI-0352",="PASS",="PASS",="25102485",="PASS",="5102485",="PASS",="708",="PASS",="10308",="PASS",="5353",="PASS",="4331",="PASS",="3266",="PASS",="1782",="PASS",="PASS",="v0.5.23",="PASS",="1100",="01000",="0011",="10111",="PASS",="11529",="-",="0",="0",="0",="PASS",="906000",="1425251534",="839759838",="-40",="11",="839759838",="1425251534",="-50",="10",="-",="1000",="",="",="",="",="PASS",="6200000F26D67028",="PASS",="13",="99",="865413056320020",="89551080157072791251",="Vivo",="PASS",="2",="14",="0.76",="PASS",="89550534400026563945",="Claro",="PASS",="-",="PASS",="BD9F157CB48A9122",="PASS",="63350B9A78BBC2B5FF9324937CA7149A",="PASS",="A9CE6187",="PASS",="0005168000149946",="PASS",="2F2832EBFB743104E1C4B70F92605F13",
="2024-06-27",="00:56:22",="01:05:16",="hi-mix",="RI-0352",="PASS",="PASS",="25102615",="PASS",="5102615",="PASS",="632",="PASS",="10276",="PASS",="5373",="PASS",="4340",="PASS",="3261",="PASS",="1772",="PASS",="PASS",="v0.5.23",="PASS",="1100",="01000",="0011",="10111",="PASS",="11502",="-",="0",="0",="0",="PASS",="906000",="1589702980",="1466852947",="-42",="11",="1466852947",="1589702980",="-45",="9",="-",="1000",="",="",="",="",="PASS",="6200000F26D67028",="PASS",="11",="99",="865413056322745",="89551080157072791251",="Vivo",="PASS",="2",="13",="0.72",="PASS",="89550534400026552708",="Claro",="PASS",="-",="PASS",="3B8BE3654894677A",="PASS",="FAEBD32B0D619B853885E57DF7B25AB9",="PASS",="2D7E244D",="PASS",="000516800014981E",="PASS",="1C26C4234838BFB001B93D478FE8C26F",
="2024-06-27",="01:05:51",="01:07:54",="hi-mix",="RI-0352",="FAIL",="PASS",="25102514",="PASS",="5102514",="PASS",="432",="PASS",="10276",="PASS",="5373",="PASS",="4370",="PASS",="3291",="PASS",="1767",="PASS",="PASS",="v0.5.23",="FAIL",="1100",="01000",="0011",="11111",="-",="0",="-",="0",="0",="0",="-",="906000",="",="",="0",="0",="",="",="0",="0",="-",="1000",="",="",="",="",="-",="",="-",="0",="0",="",="",="",="-",="",="",="",="-",="",="",="-",="-",="-",="",="-",="",="-",="",="PASS",="0005168000149967",="-",="",
="2024-06-27",="01:09:01",="01:18:42",="hi-mix",="RI-0352",="FAIL",="PASS",="25102514",="PASS",="5102514",="PASS",="348",="PASS",="10340",="PASS",="5373",="PASS",="4355",="PASS",="3271",="PASS",="1762",="PASS",="PASS",="v0.5.23",="PASS",="1100",="01000",="0011",="10111",="PASS",="11598",="-",="0",="0",="0",="PASS",="906000",="1031744808",="1531669346",="-38",="11",="1531669346",="1031744808",="-47",="10",="-",="1000",="",="",="",="",="PASS",="6200000F26D67028",="PASS",="11",="99",="865413056320368",="89551080157072791251",="Vivo",="FAIL",="2",="17",="0.64",="-",="",="",="-",="-",="-",="",="-",="",="-",="",="PASS",="0005168000149967",="-",="",
="2024-06-27",="01:18:57",="01:36:26",="hi-mix",="RI-0352",="PASS",="PASS",="25102514",="PASS",="5102514",="PASS",="354",="PASS",="10308",="PASS",="5363",="PASS",="4345",="PASS",="3266",="PASS",="1762",="PASS",="PASS",="v0.5.23",="PASS",="1100",="01000",="0011",="10111",="PASS",="11585",="-",="0",="0",="0",="PASS",="906000",="449683307",="384961961",="-38",="11",="384961961",="449683307",="-43",="10",="-",="1000",="",="",="",="",="PASS",="6200000F26D67028",="PASS",="12",="99",="865413056320368",="89551080157072791251",="Vivo",="PASS",="2",="21",="0.56",="PASS",="89550534400026552856",="Claro",="PASS",="-",="PASS",="9C012879B835D3E0",="PASS",="46898767A20E2E532F5219CEF87A0DB4",="PASS",="AB819498",="PASS",="0005168000149967",="PASS",="7FB428D36337AFC44E019B9F0043270E",
="2024-06-27",="01:36:51",="01:39:05",="hi-mix",="RI-0352",="FAIL",="PASS",="25102413",="PASS",="5102413",="PASS",="452",="PASS",="10308",="PASS",="5402",="PASS",="4360",="PASS",="3271",="PASS",="1787",="PASS",="PASS",="v0.5.23",="FAIL",="1100",="01000",="0111",="",="-",="0",="-",="0",="0",="0",="-",="906000",="",="",="0",="0",="",="",="0",="0",="-",="1000",="",="",="",="",="-",="",="-",="0",="0",="",="",="",="-",="",="",="",="-",="",="",="-",="-",="-",="",="-",="",="-",="",="PASS",="0005168000149965",="-",="",
="2024-06-27",="01:39:43",="01:47:46",="hi-mix",="RI-0352",="PASS",="PASS",="25102413",="PASS",="5102413",="PASS",="2078",="PASS",="10308",="PASS",="5363",="PASS",="4350",="PASS",="3276",="PASS",="1772",="PASS",="PASS",="v0.5.23",="PASS",="1100",="01000",="0011",="10111",="PASS",="11571",="-",="0",="0",="0",="PASS",="906000",="1366626419",="1130528970",="-48",="9",="1130528970",="1366626419",="-48",="9",="-",="1000",="",="",="",="",="PASS",="6200000F26D67028",="PASS",="11",="99",="865413056319816",="89551080157072791251",="Vivo",="PASS",="2",="14",="0.69",="PASS",="89550534400026552880",="Claro",="PASS",="-",="PASS",="652F5CF99762BCEF",="PASS",="0F404E7C2ADF2D83DDA9C368E628ED99",="PASS",="6BF0893D",="PASS",="0005168000149965",="PASS",="FBE55EB9E4575AD1D416A4A7439C6A06",
="2024-06-27",="01:48:00",="01:56:06",="hi-mix",="RI-0352",="PASS",="PASS",="25102416",="PASS",="5102416",="PASS",="462",="PASS",="10212",="PASS",="5373",="PASS",="4340",="PASS",="3251",="PASS",="1772",="PASS",="PASS",="v0.5.23",="PASS",="1100",="01000",="0011",="10111",="PASS",="11695",="-",="0",="0",="0",="PASS",="906000",="2412199",="2040585194",="-43",="11",="2040585194",="2412199",="-50",="10",="-",="1000",="",="",="",="",="PASS",="6200000F26D67028",="PASS",="12",="99",="865413056332363",="89551080157072791251",="Vivo",="PASS",="2",="12",="0.75",="PASS",="89550534400026552831",="Claro",="PASS",="-",="PASS",="66897DAB9257C7C5",="PASS",="11357630D69457AE6C1DB3403DEBB1ED",="PASS",="8C2D210A",="PASS",="0005168000148DD6",="PASS",="5698AFD912A8FC733B13DEE83CC2BF38",
="2024-06-27",="01:56:59",="01:58:32",="hi-mix",="RI-0352",="FAIL",="-",="0",="-",="0",="PASS",="734",="PASS",="10276",="PASS",="5392",="PASS",="4379",="PASS",="3291",="PASS",="1777",="PASS",="FAIL",="NACK",="-",="",="",="",="",="-",="0",="-",="0",="0",="0",="-",="906000",="",="",="0",="0",="",="",="0",="0",="-",="1000",="",="",="",="",="-",="",="-",="0",="0",="",="",="",="-",="",="",="",="-",="",="",="-",="-",="-",="",="-",="",="-",="",="-",="",="-",="",
="2024-06-27",="01:59:15",="02:00:57",="hi-mix",="RI-0352",="FAIL",="-",="0",="-",="0",="-",="0",="-",="0",="-",="0",="-",="0",="-",="0",="-",="0",="-",="-",="",="-",="",="",="",="",="-",="0",="-",="0",="0",="0",="-",="906000",="",="",="0",="0",="",="",="0",="0",="-",="1000",="",="",="",="",="-",="",="-",="0",="0",="",="",="",="-",="",="",="",="-",="",="",="-",="-",="-",="",="-",="",="-",="",="-",="",="-",="",
="2024-06-27",="02:02:01",="02:03:47",="hi-mix",="RI-0352",="FAIL",="-",="0",="-",="0",="-",="0",="-",="0",="-",="0",="-",="0",="-",="0",="-",="0",="-",="-",="",="-",="",="",="",="",="-",="0",="-",="0",="0",="0",="-",="906000",="",="",="0",="0",="",="",="0",="0",="-",="1000",="",="",="",="",="-",="",="-",="0",="0",="",="",="",="-",="",="",="",="-",="",="",="-",="-",="-",="",="-",="",="-",="",="-",="",="-",="",
="2024-06-27",="02:04:52",="02:19:40",="hi-mix",="RI-0352",="PASS",="PASS",="25102468",="PASS",="5102468",="PASS",="712",="PASS",="10244",="PASS",="5402",="PASS",="4365",="PASS",="3271",="PASS",="1772",="PASS",="PASS",="v0.5.23",="PASS",="1100",="01000",="0011",="10111",="PASS",="11668",="-",="0",="0",="0",="PASS",="906000",="996241571",="1173529204",="-47",="9",="1173529204",="996241571",="-42",="10",="-",="1000",="",="",="",="",="PASS",="6200000F26D67028",="PASS",="11",="99",="865413056318768",="89551080157072791251",="Vivo",="PASS",="2",="18",="0.59",="PASS",="89550534400026552450",="Claro",="PASS",="-",="PASS",="F572D1BC420F377E",="PASS",="20191E66450C5A0C32B16277FB827B14",="PASS",="1E83A4BA",="PASS",="0005168000149882",="PASS",="74501E44E0F878DB3BB0E24AECAC80C8",
="2024-06-27",="02:20:00",="02:22:07",="hi-mix",="RI-0352",="FAIL",="PASS",="25102414",="PASS",="5102414",="PASS",="452",="PASS",="10244",="PASS",="5363",="PASS",="4355",="PASS",="3276",="PASS",="1777",="PASS",="PASS",="v0.5.23",="FAIL",="1100",="01000",="0111",="",="-",="0",="-",="0",="0",="0",="-",="906000",="",="",="0",="0",="",="",="0",="0",="-",="1000",="",="",="",="",="-",="",="-",="0",="0",="",="",="",="-",="",="",="",="-",="",="",="-",="-",="-",="",="-",="",="-",="",="PASS",="000516800014996F",="-",="",
="2024-06-27",="02:22:39",="02:24:16",="hi-mix",="RI-0352",="FAIL",="-",="0",="-",="0",="-",="0",="-",="0",="-",="0",="-",="0",="-",="0",="-",="0",="-",="-",="",="-",="",="",="",="",="-",="0",="-",="0",="0",="0",="-",="906000",="",="",="0",="0",="",="",="0",="0",="-",="1000",="",="",="",="",="-",="",="-",="0",="0",="",="",="",="-",="",="",="",="-",="",="",="-",="-",="-",="",="-",="",="-",="",="-",="",="-",="",
="2024-06-27",="02:24:43",="02:26:21",="hi-mix",="RI-0352",="FAIL",="-",="0",="-",="0",="-",="0",="-",="0",="-",="0",="-",="0",="-",="0",="-",="0",="-",="-",="",="-",="",="",="",="",="-",="0",="-",="0",="0",="0",="-",="906000",="",="",="0",="0",="",="",="0",="0",="-",="1000",="",="",="",="",="-",="",="-",="0",="0",="",="",="",="-",="",="",="",="-",="",="",="-",="-",="-",="",="-",="",="-",="",="-",="",="-",="",
="2024-06-27",="02:28:22",="02:40:51",="hi-mix",="RI-0352",="FAIL",="PASS",="25102414",="PASS",="5102414",="PASS",="738",="PASS",="10276",="PASS",="5353",="PASS",="4350",="PASS",="3261",="PASS",="1767",="PASS",="PASS",="v0.5.23",="PASS",="1100",="01000",="0011",="10111",="PASS",="11654",="-",="0",="0",="0",="PASS",="906000",="1254041828",="354891347",="-51",="10",="354891347",="1254041828",="-49",="10",="-",="1000",="",="",="",="",="PASS",="6200000F26D67028",="PASS",="12",="99",="865413056320384",="89551080157072791251",="Vivo",="PASS",="2",="14",="0.67",="PASS",="89550534400026554662",="Claro",="TIMEOUT",="-",="-",="",="-",="",="-",="",="PASS",="000516800014996F",="-",="",
="2024-06-27",="02:41:39",="02:48:09",="hi-mix",="RI-0352",="FAIL",="PASS",="25102414",="PASS",="5102414",="PASS",="420",="PASS",="10244",="PASS",="5373",="PASS",="4350",="PASS",="3256",="PASS",="1777",="PASS",="PASS",="v0.5.23",="PASS",="1100",="01000",="0011",="10111",="PASS",="11668",="-",="0",="0",="0",="PASS",="906000",="1643439604",="508739952",="-47",="11",="508739952",="1643439604",="-44",="11",="-",="1000",="",="",="",="",="PASS",="6200000F26D67028",="PASS",="11",="99",="865413056320384",="89551080157072791251",="Vivo",="FAIL",="2",="14",="0.70",="-",="",="",="-",="-",="-",="",="-",="",="-",="",="PASS",="000516800014996F",="-",="",
="2024-06-27",="02:48:32",="03:02:35",="hi-mix",="RI-0352",="PASS",="PASS",="25102414",="PASS",="5102414",="PASS",="354",="PASS",="10244",="PASS",="5373",="PASS",="4350",="PASS",="3256",="PASS",="1772",="PASS",="PASS",="v0.5.23",="PASS",="1100",="01000",="0011",="10111",="PASS",="11668",="-",="0",="0",="0",="PASS",="906000",="69989005",="187943036",="-41",="10",="187943036",="69989005",="-51",="10",="-",="1000",="",="",="",="",="PASS",="6200000F26D67028",="PASS",="11",="99",="865413056320384",="89551080157072791251",="Vivo",="PASS",="2",="13",="0.75",="PASS",="89550534400026554662",="Claro",="PASS",="-",="PASS",="7EDE758A2E33074A",="PASS",="FFB8F32C8FB9670999F412643E146304",="PASS",="4CC7FA60",="PASS",="000516800014996F",="PASS",="8422A46BDB9C19DC59999F53F9B24845",
="2024-06-27",="03:02:46",="03:04:38",="hi-mix",="RI-0352",="FAIL",="FAIL",="0",="-",="0",="PASS",="452",="PASS",="10308",="PASS",="5373",="PASS",="4345",="PASS",="3251",="PASS",="1782",="PASS",="PASS",="v0.5.23",="-",="",="",="",="",="-",="0",="-",="0",="0",="0",="-",="906000",="",="",="0",="0",="",="",="0",="0",="-",="1000",="",="",="",="",="-",="",="-",="0",="0",="",="",="",="-",="",="",="",="-",="",="",="-",="-",="-",="",="-",="",="-",="",="PASS",="0005168000148CF8",="-",="",
