sep=,
="DATE",="START_TIME",="END_TIME",="USER_NAME",="DEVICE_MODEL",="ALL_ENABLED_TESTS_STATUS",="SERIAL_NUMBER_STATUS",="SERIAL_NUMBER_VALUE",="LoRa_ID_STATUS",="LoRa_ID_VALUE",="POWER_TEST",="POWER_VALUE (mW)",="V1_TEST",="V1_VALUE (mV)",="V2_TEST",="V2_VALUE (mV)",="V3_TEST",="V3_VALUE (mV)",="V4_TEST",="V4_VALUE (mV)",="V5_TEST",="V5_VALUE (mV)",="UART_TEST",="FIRMWARE_VERSION_TEST",="FIRMWARE_VERSION_VALUE",="GPIO_TEST",="GPIO_JIGA_STATE_1",="GPIO_DUT_STATE_1",="GPIO_JIGA_STATE_2",="GPIO_DUT_STATE_2",="ADC_TEST",="ADC_VALUE (mV)",="G-SENSOR_TEST",="G-SENSOR_X_AXIS",="G-SENSOR_Y_AXIS",="G-SENSOR_Z_AXIS",="LoRa_TEST",="LoRa_channel",="LoRa_DUT_RX_DATA",="LoRa_DUT_TX_DATA",="LoRa_DUT_RSSI",="LoRa_DUT_SNR",="LoRa_JIGA_RX_DATA",="LoRa_JIGA_TX_DATA",="LoRa_JIGA_RSSI",="LoRa_JIGA_SNR",="CAN_TEST",="CAN_BIT_RATE",="CAN_DUT_RX_DATA",="CAN_DUT_TX_DATA",="CAN_JIGA_RX_DATA",="CAN_JIGA_TX_DATA",="1-WIRE_TEST",="1-WIRE_VALUE",="GSM_TEST",="GSM_CSQ_RSSI",="GSM_CSQ_BER",="GSM_IMEI",="GSM_ICCID",="GSM_NETWORK_PROVIDER",="GPS_TEST",="GPS_QUALITY_INDICATOR",="GPS_SATELLITES_USED",="GPS_HDOP",="SIM_CARD_TEST",="SIM_CARD_ICCID",="SIM_CARD_NETWORK_PROVIDER",="SETUP_DOWNLOAD",="SETUP_HASH",="LoRa_APP_EUI_STATUS",="LoRa_APP_EUI_VALUE",="LoRa_APP_SESSION_KEY_STATUS",="LORA_APP_SESSION_KEY_VALUE",="LoRa_DEV_ADDRESS_STATUS",="LoRa_DEV_ADDRESS_VALUE",="LoRa_DEV_EUI_STATUS",="LoRa_DEV_EUI_VALUE",="LoRa_NTWK_SESSION_KEY_STATUS",="LoRa_NTWK_SESSION_KEY_VALUE",
="2024-12-02",="05:54:55",="05:57:02",="hi-mix",="RI-0352",="FAIL",="PASS",="25119825",="PASS",="5119825",="PASS",="652",="PASS",="10473",="PASS",="5332",="PASS",="4331",="PASS",="3251",="PASS",="1777",="PASS",="PASS",="v0.5.28",="FAIL",="1100",="01000",="0011",="00111",="-",="0",="-",="0",="0",="0",="-",="904000",="",="",="0",="0",="",="",="0",="0",="-",="1000",="",="",="",="",="-",="",="-",="0",="0",="",="",="",="-",="",="",="",="-",="",="",="-",="-",="-",="",="-",="",="-",="",="PASS",="00005C87D8D03A2F",="-",="",
="2024-12-02",="05:58:41",="06:00:14",="hi-mix",="RI-0352",="FAIL",="PASS",="25119825",="PASS",="5119825",="PASS",="590",="PASS",="10409",="PASS",="5322",="PASS",="4326",="PASS",="3251",="PASS",="1777",="PASS",="PASS",="v0.5.28",="FAIL",="1100",="01000",="0011",="00111",="-",="0",="-",="0",="0",="0",="-",="904000",="",="",="0",="0",="",="",="0",="0",="-",="1000",="",="",="",="",="-",="",="-",="0",="0",="",="",="",="-",="",="",="",="-",="",="",="-",="-",="-",="",="-",="",="-",="",="PASS",="00005C87D8D03A2F",="-",="",
="2024-12-02",="06:01:06",="06:06:30",="hi-mix",="RI-0352",="PASS",="PASS",="25119693",="PASS",="5119693",="PASS",="1174",="PASS",="10312",="PASS",="5312",="PASS",="4306",="PASS",="3256",="PASS",="1772",="PASS",="PASS",="v0.5.28",="PASS",="1100",="01000",="0011",="10111",="PASS",="11460",="PASS",="93",="90",="3",="PASS",="904000",="1400473203",="759438201",="-74",="11",="759438201",="1400473203",="-33",="11",="-",="1000",="",="",="",="",="PASS",="519398710E64FF28",="PASS",="27",="99",="863238071089306",="89551080357045308148",="Vivo",="PASS",="2",="14",="0.68",="PASS",="89550531460000699431",="Claro",="PASS",="-",="PASS",="69549B8C21EE023C",="PASS",="3D748F2BCAC363CAE56C3849A847D1FD",="PASS",="294877CB",="PASS",="000516800014DA78",="PASS",="6EB235364C438DB0854FC15F4656CCCC",
="2024-12-02",="06:09:21",="06:10:59",="hi-mix",="RI-0352",="FAIL",="FAIL",="0",="-",="0",="PASS",="712",="PASS",="10441",="PASS",="5351",="PASS",="4331",="PASS",="3251",="PASS",="1777",="PASS",="PASS",="v0.5.28",="-",="",="",="",="",="-",="0",="-",="0",="0",="0",="-",="904000",="",="",="0",="0",="",="",="0",="0",="-",="1000",="",="",="",="",="-",="",="-",="0",="0",="",="",="",="-",="",="",="",="-",="",="",="-",="-",="-",="",="-",="",="-",="",="PASS",="00005C87D8D03A0E",="-",="",
="2024-12-02",="06:12:15",="06:21:05",="hi-mix",="RI-0352",="PASS",="PASS",="25119828",="PASS",="5119828",="PASS",="1074",="PASS",="10409",="PASS",="5341",="PASS",="4326",="PASS",="3251",="PASS",="1777",="PASS",="PASS",="v0.5.28",="PASS",="1100",="01000",="0011",="10111",="PASS",="11557",="PASS",="93",="90",="3",="PASS",="904000",="1355191297",="265028565",="-72",="10",="265028565",="1355191297",="-31",="12",="-",="1000",="",="",="",="",="PASS",="519398710E64FF28",="PASS",="26",="99",="863238071061479",="89551080357045308148",="Vivo",="PASS",="2",="14",="0.68",="PASS",="8955053146000069961",="Claro",="PASS",="-",="PASS",="DEE03DA5DAB45EAC",="PASS",="70368C46FDD837E1D46AB6C9D667A571",="PASS",="628410CE",="PASS",="00005C87D8D03A0E",="PASS",="EAF18963A9CF217888E168959E65ED1D",
="2024-12-02",="06:21:35",="06:23:52",="hi-mix",="RI-0352",="FAIL",="PASS",="25119872",="PASS",="5119872",="PASS",="328",="PASS",="10473",="PASS",="5283",="PASS",="4316",="PASS",="3261",="PASS",="1762",="PASS",="PASS",="v0.5.28",="PASS",="1100",="01000",="0011",="10111",="PASS",="11474",="PASS",="93",="90",="3",="PASS",="904000",="1512256502",="1013260990",="-72",="11",="1013260990",="1512256502",="-30",="11",="-",="1000",="",="",="",="",="PASS",="519398710E64FF28",="FAIL",="0",="0",="863238071069811",="",="",="-",="",="",="",="-",="",="",="-",="-",="-",="",="-",="",="-",="",="PASS",="000516800014D722",="-",="",
="2024-12-02",="06:25:00",="06:27:22",="hi-mix",="RI-0352",="FAIL",="PASS",="25119532",="PASS",="5119532",="PASS",="514",="PASS",="10409",="PASS",="5292",="PASS",="4350",="PASS",="3237",="PASS",="1777",="PASS",="PASS",="v0.5.28",="PASS",="1100",="01000",="0011",="10111",="PASS",="11709",="PASS",="90",="90",="0",="PASS",="904000",="1982647421",="1641919688",="-74",="11",="1641919688",="1982647421",="-30",="11",="-",="1000",="",="",="",="",="PASS",="519398710E64FF28",="FAIL",="0",="0",="863238071066874",="",="",="-",="",="",="",="-",="",="",="-",="-",="-",="",="-",="",="-",="",="PASS",="00005C87D8D0398D",="-",="",
="2024-12-02",="06:28:04",="06:33:58",="hi-mix",="RI-0352",="FAIL",="PASS",="25119842",="PASS",="5119842",="PASS",="558",="PASS",="10441",="PASS",="5322",="PASS",="4331",="PASS",="3242",="PASS",="1772",="PASS",="PASS",="v0.5.28",="PASS",="1100",="01000",="0011",="10111",="PASS",="11681",="PASS",="93",="93",="5",="PASS",="904000",="2006866089",="342913654",="-72",="11",="342913654",="2006866089",="-29",="11",="-",="1000",="",="",="",="",="PASS",="519398710E64FF28",="PASS",="26",="99",="863238071062683",="89551080357045309153",="Vivo",="PASS",="2",="13",="0.73",="FAIL",="",="",="-",="-",="-",="",="-",="",="-",="",="PASS",="00005C87D8D04071",="-",="",
="2024-12-02",="06:34:57",="06:39:55",="hi-mix",="RI-0352",="FAIL",="PASS",="25119842",="PASS",="5119842",="PASS",="714",="PASS",="10409",="PASS",="5322",="PASS",="4331",="PASS",="3242",="PASS",="1777",="PASS",="PASS",="v0.5.28",="PASS",="1100",="01000",="0011",="10111",="PASS",="11681",="PASS",="90",="90",="0",="PASS",="904000",="911459926",="1624886926",="-74",="11",="1624886926",="911459926",="-29",="11",="-",="1000",="",="",="",="",="PASS",="519398710E64FF28",="PASS",="26",="99",="863238071062683",="89551080357045309153",="Vivo",="PASS",="2",="12",="0.79",="FAIL",="",="",="-",="-",="-",="",="-",="",="-",="",="PASS",="00005C87D8D04071",="-",="",
="2024-12-02",="06:41:42",="06:43:52",="hi-mix",="RI-0352",="FAIL",="PASS",="25119843",="PASS",="5119843",="PASS",="478",="PASS",="10409",="PASS",="5263",="PASS",="4316",="PASS",="3247",="PASS",="1772",="PASS",="PASS",="v0.5.28",="PASS",="1100",="01000",="0011",="10111",="PASS",="11502",="PASS",="90",="90",="0",="PASS",="904000",="1133782172",="1710090862",="-73",="11",="1710090862",="1133782172",="-29",="11",="-",="1000",="",="",="",="",="PASS",="519398710E64FF28",="FAIL",="0",="0",="863238071067518",="",="",="-",="",="",="",="-",="",="",="-",="-",="-",="",="-",="",="-",="",="PASS",="00005C87D8D0403F",="-",="",
